open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5360500000000,5361250000000,5359250000000,5359500000000,1984,ESM4,2024-06-06 15:42:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1477888370.680992
5359500000000,5361000000000,5358750000000,5359250000000,2842,ESM4,2024-06-06 15:43:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1513971129.7286193
5359500000000,5360500000000,5359000000000,5360000000000,1180,ESM4,2024-06-06 15:44:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1537412228.2040963
5359750000000,5360500000000,5358750000000,5359500000000,2080,ESM4,2024-06-06 15:45:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1569557293.254283
5359750000000,5361000000000,5359500000000,5359750000000,1656,ESM4,2024-06-06 15:46:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1596535863.5108275
5360000000000,5362250000000,5360000000000,5362000000000,2019,ESM4,2024-06-06 15:47:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1590057490.8105814
5361750000000,5364000000000,5361750000000,5363750000000,2421,ESM4,2024-06-06 15:48:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1613997326.3721888
5363750000000,5365250000000,5363000000000,5363500000000,4107,ESM4,2024-06-06 15:49:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,1627959618.9866672
5363250000000,5365250000000,5363000000000,5364250000000,4667,ESM4,2024-06-06 15:50:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,1627959618.9866672
5364000000000,5364750000000,5361500000000,5361750000000,3186,ESM4,2024-06-06 15:51:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1612999588.5205197
5361500000000,5363000000000,5360750000000,5362750000000,3788,ESM4,2024-06-06 15:52:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1609100537.9572706
5362500000000,5363000000000,5361250000000,5362500000000,2172,ESM4,2024-06-06 15:53:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1568350157.975968
5362500000000,5364250000000,5362250000000,5363000000000,2661,ESM4,2024-06-06 15:54:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1512406603.124928
5363000000000,5364250000000,5361250000000,5362000000000,4433,ESM4,2024-06-06 15:55:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,SELL,SELL,range-bound,range-bound,1426835162.7510133
5362000000000,5362500000000,5361000000000,5361500000000,2731,ESM4,2024-06-06 15:56:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1357731320.7113369
5361750000000,5363750000000,5361000000000,5363250000000,4895,ESM4,2024-06-06 15:57:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,1369721270.7124934
5363250000000,5363750000000,5361500000000,5361750000000,4561,ESM4,2024-06-06 15:58:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1369721270.7124934
5361750000000,5366000000000,5361250000000,5365250000000,40473,ESM4,2024-06-06 15:59:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,bull,1465340307.923324
5365500000000,5365500000000,5361750000000,5362000000000,12675,ESM4,2024-06-06 16:00:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,SELL,BUY,range-bound,bull,1464693919.7765381
5375250000000,5375500000000,5368750000000,5369250000000,9156,ESM4,2024-06-07 14:00:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,2464866766.6138263
5369250000000,5369500000000,5365500000000,5369000000000,8511,ESM4,2024-06-07 14:01:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,2845950072.2123485
5369250000000,5370750000000,5367000000000,5368750000000,4485,ESM4,2024-06-07 14:02:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,3184033319.1042614
5368750000000,5370000000000,5365500000000,5366000000000,4159,ESM4,2024-06-07 14:03:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,3659669631.747644
5366000000000,5367250000000,5363750000000,5364500000000,6020,ESM4,2024-06-07 14:04:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,4158036516.449644
5364750000000,5366000000000,5360750000000,5362000000000,8060,ESM4,2024-06-07 14:05:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,4748371597.047972
5362000000000,5363250000000,5360750000000,5362500000000,5032,ESM4,2024-06-07 14:06:00,HOLD,HOLD,HOLD,HOLD,BUY,HOLD,HOLD,SELL,range-bound,range-bound,5203528085.907829
5362500000000,5363250000000,5360500000000,5362250000000,3970,ESM4,2024-06-07 14:07:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5576278898.96321
5362250000000,5362250000000,5358000000000,5358000000000,7518,ESM4,2024-06-07 14:08:00,HOLD,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,range-bound,6085787175.949647
5358000000000,5361250000000,5356500000000,5359750000000,6448,ESM4,2024-06-07 14:09:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,6378541796.520098
5359750000000,5360500000000,5358000000000,5358500000000,3780,ESM4,2024-06-07 14:10:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,6738940621.677078
5358500000000,5359750000000,5357250000000,5357250000000,2824,ESM4,2024-06-07 14:11:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,7147512281.459243
5357250000000,5358750000000,5356750000000,5357750000000,4012,ESM4,2024-06-07 14:12:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,7482471098.027187
5357500000000,5357750000000,5355000000000,5356250000000,4624,ESM4,2024-06-07 14:13:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,7880611676.734753
5356250000000,5356750000000,5352250000000,5352750000000,7070,ESM4,2024-06-07 14:14:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,8399066506.301587
5353000000000,5357000000000,5351250000000,5355750000000,9422,ESM4,2024-06-07 14:15:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,SELL,SELL,range-bound,range-bound,8702892674.539885
5356000000000,5356750000000,5354000000000,5355250000000,3511,ESM4,2024-06-07 14:16:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,8976530144.205124
5355250000000,5355250000000,5353250000000,5353750000000,3178,ESM4,2024-06-07 14:17:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,9270527318.506088
5353500000000,5355500000000,5352250000000,5355000000000,3335,ESM4,2024-06-07 14:18:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,9488253636.270874
5354750000000,5357000000000,5354500000000,5355500000000,3895,ESM4,2024-06-07 14:19:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9632374519.525234
5355500000000,5361750000000,5354750000000,5361250000000,6108,ESM4,2024-06-07 14:20:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9595200162.43195
5361000000000,5363000000000,5360500000000,5361750000000,4685,ESM4,2024-06-07 14:21:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9555073616.341606
5361500000000,5363000000000,5360000000000,5360500000000,2886,ESM4,2024-06-07 14:22:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9560305006.312035
5360500000000,5361500000000,5359500000000,5360500000000,2427,ESM4,2024-06-07 14:23:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9556226485.491282
5360500000000,5361500000000,5359750000000,5361250000000,1613,ESM4,2024-06-07 14:24:00,HOLD,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9497397968.778923
5361250000000,5362500000000,5360500000000,5360750000000,1865,ESM4,2024-06-07 14:25:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9476289523.166128
5361000000000,5363250000000,5360750000000,5362750000000,2196,ESM4,2024-06-07 14:26:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9421046849.099884
5362750000000,5364250000000,5361500000000,5364250000000,1669,ESM4,2024-06-07 14:27:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9348546853.837486
5364250000000,5366000000000,5363750000000,5364000000000,3239,ESM4,2024-06-07 14:28:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9209096019.182486
5363750000000,5366000000000,5363250000000,5363500000000,2003,ESM4,2024-06-07 14:29:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,9080952565.151361
5363250000000,5364750000000,5362000000000,5363750000000,3149,ESM4,2024-06-07 14:30:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,8989672104.20043
5363750000000,5365500000000,5363750000000,5365000000000,1683,ESM4,2024-06-07 14:31:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,8859798119.757732
5364750000000,5365500000000,5362250000000,5363500000000,2622,ESM4,2024-06-07 14:32:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,8673937072.57731
5363500000000,5365500000000,5363250000000,5364250000000,1639,ESM4,2024-06-07 14:33:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,8442254085.0182705
5364000000000,5364500000000,5361750000000,5362000000000,2045,ESM4,2024-06-07 14:34:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,8256608922.83881
5362250000000,5365250000000,5361250000000,5365000000000,2279,ESM4,2024-06-07 14:35:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,8005175093.553207
5364750000000,5365500000000,5363750000000,5365000000000,1272,ESM4,2024-06-07 14:36:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,7713366497.379408
5365000000000,5365750000000,5364000000000,5365250000000,1249,ESM4,2024-06-07 14:37:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,7326516287.071217
5365000000000,5366000000000,5363500000000,5364750000000,1370,ESM4,2024-06-07 14:38:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,6939311233.80959
5364500000000,5365750000000,5364250000000,5365500000000,1063,ESM4,2024-06-07 14:39:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,6583846354.82362
